PassengerId,Name,PClass,Age,Sex,Survived
1,"Allen, Miss Elisabeth Walton",1st,29,female,1
2,"Allison, Miss Helen Loraine",1st,2,female,0
3,"Allison, Mr Hudson Joshua Creighton",1st,30,male,0
4,"Allison, Mrs Hudson JC (Bessie Waldo Daniels)",1st,25,female,0
5,"Allison, Master Hudson Trevor",1st,0.92,male,1
6,"Anderson, Mr Harry",1st,47,male,1
7,"Andrews, Miss Kornelia Theodosia",1st,63,female,1
8,"Andrews, Mr Thomas, jr",1st,39,male,0
9,"Appleton, Mrs Edward Dale (Charlotte Lamson)",1st,58,female,1
10,"Artagaveytia, Mr Ramon",1st,71,male,0
11,"Astor, Colonel John Jacob",1st,47,male,0
12,"Astor, Mrs John Jacob (Madeleine Talmadge Force)",1st,19,female,1
13,"Aubert, Mrs Leontine Pauline",1st,NA,female,1
14,"Barkworth, Mr Algernon H",1st,NA,male,1
15,"Baumann, Mr John D",1st,NA,male,0
16,"Baxter, Mrs James (Helene DeLaudeniere Chaput)",1st,50,female,1
17,"Baxter, Mr Quigg Edmond",1st,24,male,0
18,"Beattie, Mr Thomson",1st,36,male,0
19,"Beckwith, Mr Richard Leonard",1st,37,male,1
20,"Beckwith, Mrs Richard Leonard (Sallie Monypeny)",1st,47,female,1
21,"Behr, Mr Karl Howell",1st,26,male,1
22,"Birnbaum, Mr Jakob",1st,25,male,0
23,"Bishop, Mr Dickinson H",1st,25,male,1
24,"Bishop, Mrs Dickinson H (Helen Walton)",1st,19,female,1
25,"Bjornstrm-Steffansson, Mr Mauritz Hakan",1st,28,male,1
26,"Blackwell, Mr Stephen Weart",1st,45,male,0
27,"Blank, Mr Henry",1st,39,male,1
28,"Bonnell, Miss Caroline",1st,30,female,1
29,"Bonnell, Miss Elizabeth",1st,58,female,1
30,"Borebank, Mr John James",1st,NA,male,0
31,"Bowen, Miss Grace Scott",1st,45,female,1
32,"Bowerman, Miss Elsie Edith",1st,22,female,1
33,"Bradley, Mr George",1st,NA,male,1
34,"Brady, Mr John Bertram",1st,41,male,0
35,"Brandeis, Mr Emil",1st,48,male,0
36,"Brewe, Dr Arthur Jackson",1st,NA,male,0
