id,name,chinese,english,math
1,Ian,87,85,82
2,Isaiah,92,87,90
3,Kyle,80,91,87
4,Matthew,78,82,95
5,Richard,88,89,90
6,Aaron,82,87,88
7,Garrett,90,92,82
8,Paul,87,80,90
9,Sergey,95,78,87
10,Chris,90,88,95
11,Teddy,88,89,75
12,Bianca,82,91,66
13,Lia,90,82,87
14,Maggie,87,89,92
15,Nerissa,95,87,80
16,Vanessa,90,92,78
17,Diane,82,80,88
18,Jessica,90,78,93
19,Sophia,67,87,95
20,Danielle,91,82,88
21,Nadia,82,81,82
22,Alexia,79,87,90
23,Jensen,87,92,87
24,Martin,92,82,95
25,Hayden,80,90,78
26,Jeremiah,78,76,91
27,Joshua,66,90,82
28,Travis,89,77,89
29,Hayden,87,95,87
30,Louis,73,90,92
