業務員,商品,數量,價格
張三安,冰箱,90,12600
張三安,冰箱,222,19700
李四友,電視,240,19800
張三安,筆電,93,17600
王五信,冰箱,185,17900
李四友,冰箱,176,12700
張三安,冰箱,117,12000
張三安,冰箱,229,10200
王五信,冰箱,92,17500
王五信,筆電,194,16400
張三安,電視,213,17900
張三安,冰箱,56,15400
張三安,冰箱,175,15300
張三安,電視,216,18400
王五信,筆電,267,11400
張三安,電視,65,18400
李四友,冰箱,84,14600
李四友,筆電,292,14700
張三安,電視,178,10300
張三安,冰箱,69,15300
王五信,冰箱,115,10200
王五信,冰箱,107,17700
李四友,電視,100,19700
王五信,電視,72,15900
王五信,冰箱,297,18100
張三安,冰箱,262,16200
李四友,電視,197,15200
張三安,筆電,274,17700
王五信,筆電,180,15600
王五信,電視,187,14400
李四友,電視,151,14500
張三安,冰箱,116,16300
王五信,電視,166,11800
張三安,冰箱,261,13000
李四友,電視,152,17600
張三安,電視,227,19000
李四友,電視,114,18500
張三安,筆電,103,15400
李四友,冰箱,259,16500
王五信,冰箱,237,18600
王五信,電視,89,13700
張三安,冰箱,91,12600
王五信,冰箱,183,17600
張三安,筆電,284,15600
王五信,冰箱,293,10100
張三安,冰箱,96,13500
王五信,冰箱,239,17400
張三安,冰箱,90,17000
李四友,電視,65,18100
王五信,電視,161,18900
王五信,冰箱,287,12300
張三安,冰箱,88,16700
王五信,冰箱,295,12700
王五信,筆電,235,19200
張三安,電視,211,11700
李四友,電視,287,10400
王五信,筆電,227,14300
李四友,筆電,232,15700
張三安,電視,218,14900
張三安,筆電,216,14500
張三安,冰箱,175,19900
張三安,電視,32,15800
張三安,電視,242,10600
張三安,冰箱,174,12700
張三安,冰箱,285,10100
王五信,冰箱,37,12200
張三安,電視,154,13700
張三安,冰箱,174,15000
張三安,電視,180,18200
張三安,冰箱,53,12600
李四友,筆電,294,14500
張三安,電視,125,16300
張三安,電視,186,14600
張三安,筆電,80,14900
王五信,筆電,115,13100
張三安,筆電,242,15500
王五信,冰箱,115,15900
王五信,冰箱,148,15900
李四友,冰箱,272,15300
王五信,電視,191,15900
王五信,筆電,133,13000
王五信,筆電,294,11100
張三安,冰箱,96,16700
李四友,筆電,125,15500
張三安,筆電,281,13300
張三安,冰箱,245,15600
李四友,筆電,44,17700
張三安,冰箱,182,12400
張三安,冰箱,54,10600
張三安,電視,100,10100
張三安,電視,186,18500
李四友,電視,74,17900
張三安,筆電,60,18400
張三安,電視,148,15600
王五信,電視,46,15900
李四友,電視,100,11600
王五信,冰箱,41,15300
張三安,冰箱,130,13200
張三安,冰箱,53,17200
張三安,電視,39,10700
