編號,姓名,性別,第1次,第2次,第3次
1001,丁軒軒,男,87,82,93
1002,王倫樺,女,78,81,
1003,何宜敏,女,182,87,79
1004,何志陞,男,93,88,96
1005,吳一歌,女,87,,89
1006,宋緯挺,男,91,92,
1007,李宇綸,女,91,87,89
1008,李憲勝,男,94,100,
1009,杜以潔,女,82,88,81
1010,沈程隆,男,78,82,81
1011,沈慈惠,女,86,88,82
1012,林絜峰,男,192,80,95
1013,林保苓,女,82,87,86
1014,林宏銘,男,91,92,
1015,邱堂儀,女,93,,92
1016,施帆蓉,女,84,81,83
1017,施帆蓉,女,82,76,89
1018,胡祥傑,男,90,98,96
1019,涂育婷,女,53,56,57
1020,高二戈,男,81,77,84
1021,高棋恩,男,87,84,90
1022,張暐惠,女,94,100,100
1023,梁承祐,男,92,94,99
1024,許喬廷,女,60,56,58
1025,許雅均,女,83,84,83
1026,許銘婷,女,87,90,92
1027,陳謙甄,女,87,90,92
1028,陳生貞,男,77,75,78
1029,陳宇愷,男,81,77,80
1030,陳杰育,男,80,,77
1031,陳一潔,女,88,88,87
1032,陳瑁揚,男,84,89,83
1033,曾彥睿,男,87,91,90
1034,黃杰弘,男,85,87,86
1035,黃富穎,男,92,89,96
1036,詹宗喻,男,52,50,49
1037,廖安軒,女,82,88,81
1038,劉隆霖,男,97,100,100
1039,劉二婕,女,94,92,93
1040,蔡凌嘉,男,-1,-1,-1
1041,謝穎安,男,94,90,100
