ID,name,sex,email,第1次平時考,第2次平時考,第3次平時考,第4次平時考,第5次平時考
1080001,丁軒軒,男,1080001@sun.tc.edu.tw,86,88.0,82.0,87,92.0
1080002,王倫樺,女,1080002@sun.tc.edu.tw,92,100.0,95.0,99,96.0
1080003,何宜敏,女,1080003@sun.tc.edu.tw,82,87.0,86.0,82,82.0
1080004,何志陞,男,1080004@sun.tc.edu.tw,91,92.0,99.0,91,92.0
1080005,吳ㄧ歌,女,1080005@sun.tc.edu.tw,93,,92.0,97,98.0
1080006,宋緯挺,男,1080006@sun.tc.edu.tw,84,81.0,83.0,90,88.0
1080007,李宇綸,女,1080007@sun.tc.edu.tw,82,76.0,89.0,87,85.0
1080009,杜以潔,女,1080009@sun.tc.edu.tw,53,56.0,57.0,54,53.0
1080010,沈程隆,男,1080010@sun.tc.edu.tw,81,77.0,84.0,86,83.0
1080011,沈慈惠,女,1080011@sun.tc.edu.tw,87,84.0,90.0,87,92.0
1080013,林保苓,女,1080013@sun.tc.edu.tw,92,94.0,99.0,96,94.0
1080014,林宏銘,男,1080014@sun.tc.edu.tw,60,56.0,58.0,85,88.0
1080015,邱堂儀,女,1080015@sun.tc.edu.tw,83,84.0,83.0,83,85.0
1080016,施帆蓉,女,1080016@sun.tc.edu.tw,87,90.0,92.0,86,92.0
1080017,胡祥傑,男,1080017@sun.tc.edu.tw,77,75.0,78.0,80,78.0
1080018,涂育婷,女,1080018@sun.tc.edu.tw,81,77.0,80.0,87,85.0
1080019,高二戈,男,1080019@sun.tc.edu.tw,80,,77.0,88,83.0
1080020,高棋恩,男,1080020@sun.tc.edu.tw,88,88.0,87.0,87,92.0
1080021,張暐惠,女,1080021@sun.tc.edu.tw,84,89.0,83.0,85,84.0
1080022,梁承祐,男,1080022@sun.tc.edu.tw,87,91.0,90.0,86,92.0
1080023,許喬廷,女,1080023@sun.tc.edu.tw,85,87.0,86.0,85,86.0
1080024,許雅均,女,1080024@sun.tc.edu.tw,92,89.0,96.0,97,98.0
1080025,許銘婷,女,1080025@sun.tc.edu.tw,52,50.0,49.0,74,82.0
1080026,陳謙甄,女,1080026@sun.tc.edu.tw,82,88.0,81.0,81,86.0
1080027,陳生貞,男,1080027@sun.tc.edu.tw,97,100.0,100.0,100,100.0
1080028,陳宇愷,男,1080028@sun.tc.edu.tw,94,92.0,93.0,94,100.0
1080029,陳杰育,男,1080029@sun.tc.edu.tw,90,98.0,96.0,93,95.0
1080030,陳一潔,女,1080030@sun.tc.edu.tw,94,90.0,100.0,97,
1080031,陳瑁揚,男,1080031@sun.tc.edu.tw,87,82.0,93.0,89,91.0
1080032,曾彥睿,男,1080032@sun.tc.edu.tw,78,81.0,78.0,79,83.0
1080033,黃杰弘,男,1080033@sun.tc.edu.tw,83,87.0,79.0,87,86.0
1080034,黃富穎,男,1080034@sun.tc.edu.tw,93,88.0,96.0,99,93.0
1080035,詹宗喻,男,1080035@sun.tc.edu.tw,87,87.0,89.0,88,89.0
1080036,廖安軒,女,1080036@sun.tc.edu.tw,91,92.0,97.0,91,94.0
1080037,劉隆霖,男,1080037@sun.tc.edu.tw,91,87.0,89.0,93,95.0
1080038,劉二婕,女,1080038@sun.tc.edu.tw,94,100.0,,92,95.0
1080039,蔡凌嘉,男,1080039@sun.tc.edu.tw,94,100.0,100.0,94,95.0
1080040,謝穎安,男,1080040@sun.tc.edu.tw,78,82.0,81.0,79,80.0
