ID,name,sex,email,第1次平時考,第2次平時考,第3次平時考,第4次平時考,第5次平時考,總分,平均,排名
1080001,丁軒軒,1,1080001@sun.tc.edu.tw,86,88.0,82.0,87,92.0,435.0,87.0,22
1080002,王倫樺,0,1080002@sun.tc.edu.tw,92,100.0,95.0,99,96.0,482.0,96.4,3
1080003,何宜敏,0,1080003@sun.tc.edu.tw,82,87.0,86.0,82,82.0,419.0,83.8,27
1080004,何志陞,1,1080004@sun.tc.edu.tw,91,92.0,99.0,91,92.0,465.0,93.0,12
1080005,吳ㄧ歌,0,1080005@sun.tc.edu.tw,93,85.1388888888889,92.0,97,98.0,465.1388888888889,93.02777777777779,11
1080006,宋緯挺,1,1080006@sun.tc.edu.tw,84,81.0,83.0,90,88.0,426.0,85.2,24
1080007,李宇綸,0,1080007@sun.tc.edu.tw,82,76.0,89.0,87,85.0,419.0,83.8,28
1080009,杜以潔,0,1080009@sun.tc.edu.tw,53,56.0,57.0,54,53.0,273.0,54.6,39
1080010,沈程隆,1,1080010@sun.tc.edu.tw,81,77.0,84.0,86,83.0,411.0,82.2,32
1080011,沈慈惠,0,1080011@sun.tc.edu.tw,87,84.0,90.0,87,92.0,440.0,88.0,21
1080013,林保苓,0,1080013@sun.tc.edu.tw,92,94.0,99.0,96,94.0,475.0,95.0,4
1080014,林宏銘,1,1080014@sun.tc.edu.tw,60,56.0,58.0,85,88.0,347.0,69.4,37
1080015,邱堂儀,0,1080015@sun.tc.edu.tw,83,84.0,83.0,83,85.0,418.0,83.6,30
1080016,施帆蓉,0,1080016@sun.tc.edu.tw,87,90.0,92.0,86,92.0,447.0,89.4,16
1080017,胡祥傑,1,1080017@sun.tc.edu.tw,77,75.0,78.0,80,78.0,388.0,77.6,36
1080018,涂育婷,0,1080018@sun.tc.edu.tw,81,77.0,80.0,87,85.0,410.0,82.0,33
1080019,高二戈,1,1080019@sun.tc.edu.tw,80,85.1388888888889,77.0,88,83.0,413.1388888888889,82.62777777777778,31
1080020,高棋恩,1,1080020@sun.tc.edu.tw,88,88.0,87.0,87,92.0,442.0,88.4,18
1080021,張暐惠,0,1080021@sun.tc.edu.tw,84,89.0,83.0,85,84.0,425.0,85.0,25
1080022,梁承祐,1,1080022@sun.tc.edu.tw,87,91.0,90.0,86,92.0,446.0,89.2,17
1080023,許喬廷,0,1080023@sun.tc.edu.tw,85,87.0,86.0,85,86.0,429.0,85.8,23
1080024,許雅均,0,1080024@sun.tc.edu.tw,92,89.0,96.0,97,98.0,472.0,94.4,7
1080025,許銘婷,0,1080025@sun.tc.edu.tw,52,50.0,49.0,74,82.0,307.0,61.4,38
1080026,陳謙甄,0,1080026@sun.tc.edu.tw,82,88.0,81.0,81,86.0,418.0,83.6,29
1080027,陳生貞,1,1080027@sun.tc.edu.tw,97,100.0,100.0,100,100.0,497.0,99.4,1
1080028,陳宇愷,1,1080028@sun.tc.edu.tw,94,92.0,93.0,94,100.0,473.0,94.6,5
1080029,陳杰育,1,1080029@sun.tc.edu.tw,90,98.0,96.0,93,95.0,472.0,94.4,6
1080030,陳一潔,0,1080030@sun.tc.edu.tw,94,90.0,100.0,97,88.7027027027027,469.7027027027027,93.94054054054054,8
1080031,陳瑁揚,1,1080031@sun.tc.edu.tw,87,82.0,93.0,89,91.0,442.0,88.4,19
1080032,曾彥睿,1,1080032@sun.tc.edu.tw,78,81.0,78.0,79,83.0,399.0,79.8,35
1080033,黃杰弘,1,1080033@sun.tc.edu.tw,83,87.0,79.0,87,86.0,422.0,84.4,26
1080034,黃富穎,1,1080034@sun.tc.edu.tw,93,88.0,96.0,99,93.0,469.0,93.8,9
1080035,詹宗喻,1,1080035@sun.tc.edu.tw,87,87.0,89.0,88,89.0,440.0,88.0,20
1080036,廖安軒,0,1080036@sun.tc.edu.tw,91,92.0,97.0,91,94.0,465.0,93.0,13
1080037,劉隆霖,1,1080037@sun.tc.edu.tw,91,87.0,89.0,93,95.0,455.0,91.0,15
1080038,劉二婕,0,1080038@sun.tc.edu.tw,94,100.0,86.13513513513512,92,95.0,467.1351351351351,93.42702702702702,10
1080039,蔡凌嘉,1,1080039@sun.tc.edu.tw,94,100.0,100.0,94,95.0,483.0,96.6,2
1080040,謝穎安,1,1080040@sun.tc.edu.tw,78,82.0,81.0,79,80.0,400.0,80.0,34
1080041,張三,1,1080041@sun.tc.edu.tw,90,85.0,90.0,95,95.0,455.0,91.0,14
