ID,name,sex,email,第1次平時考,第2次平時考,第3次平時考,第4次平時考,第5次平時考,總分,平均,排名
1080027,陳生貞,男,1080027@sun.tc.edu.tw,97,100,100,100,100,497,99.4,1
1080012,林絜峰,男,1080012@sun.tc.edu.tw,94,100,100,94,95,483,96.6,2
1080002,王倫樺,女,1080002@sun.tc.edu.tw,92,100,95,99,96,482,96.4,3
1080013,林保苓,女,1080013@sun.tc.edu.tw,92,94,99,96,94,475,95,4
1080028,陳宇愷,男,1080028@sun.tc.edu.tw,94,92,93,94,100,473,94.6,5
1080008,李憲勝,男,1080008@sun.tc.edu.tw,90,98,96,93,95,472,94.4,6
1080024,許雅均,女,1080024@sun.tc.edu.tw,92,89,96,97,98,472,94.4,7
1080034,黃富穎,男,1080034@sun.tc.edu.tw,93,88,96,99,93,469,93.8,8
1080004,何志陞,男,1080004@sun.tc.edu.tw,91,92,99,91,92,465,93,9
1080036,廖安軒,女,1080036@sun.tc.edu.tw,91,92,97,91,94,465,93,10
1080030,陳一潔,女,1080030@sun.tc.edu.tw,94,90,100,97,82,463,92.7,11
1080038,劉二婕,女,1080038@sun.tc.edu.tw,94,100,81,92,95,462,92.5,12
1080005,吳ㄧ歌,女,1080005@sun.tc.edu.tw,93,80,92,97,98,460,92.1,13
1080037,劉隆霖,男,1080037@sun.tc.edu.tw,91,87,89,93,95,455,91,14
1080016,施帆蓉,女,1080016@sun.tc.edu.tw,87,90,92,86,92,447,89.4,15
1080022,梁承祐,男,1080022@sun.tc.edu.tw,87,91,90,86,92,446,89.2,16
1080020,高棋恩,男,1080020@sun.tc.edu.tw,88,88,87,87,92,442,88.4,17
1080031,陳瑁揚,男,1080031@sun.tc.edu.tw,87,82,93,89,91,442,88.4,18
1080035,詹宗喻,男,1080035@sun.tc.edu.tw,87,87,89,88,89,440,88,19
1080011,沈慈惠,女,1080011@sun.tc.edu.tw,87,84,90,87,92,440,88,20
1080001,丁軒軒,男,1080001@sun.tc.edu.tw,86,88,82,87,92,435,87,21
1080023,許喬廷,女,1080023@sun.tc.edu.tw,85,87,86,85,86,429,85.8,22
1080006,宋緯挺,男,1080006@sun.tc.edu.tw,84,81,83,90,88,426,85.2,23
1080021,張暐惠,女,1080021@sun.tc.edu.tw,84,89,83,85,84,425,85,24
1080033,黃杰弘,男,1080033@sun.tc.edu.tw,83,87,79,87,86,422,84.4,25
1080007,李宇綸,女,1080007@sun.tc.edu.tw,82,76,89,87,85,419,83.8,26
1080003,何宜敏,女,1080003@sun.tc.edu.tw,82,87,86,82,82,419,83.8,27
1080026,陳謙甄,女,1080026@sun.tc.edu.tw,82,88,81,81,86,418,83.6,28
1080015,邱堂儀,女,1080015@sun.tc.edu.tw,83,84,83,83,85,418,83.6,29
1080010,沈程隆,男,1080010@sun.tc.edu.tw,81,77,84,86,83,411,82.2,30
1080018,涂育婷,女,1080018@sun.tc.edu.tw,81,77,80,87,85,410,82,31
1080040,謝穎安,男,1080040@sun.tc.edu.tw,78,82,81,79,80,400,80,32
1080032,曾彥睿,男,1080032@sun.tc.edu.tw,78,81,78,79,83,399,79.8,33
1080019,高二戈,男,1080019@sun.tc.edu.tw,80,80,77,78,83,398,79.7,34
1080017,胡祥傑,男,1080017@sun.tc.edu.tw,77,75,78,80,78,388,77.6,35
1080014,林宏銘,男,1080014@sun.tc.edu.tw,60,56,58,64,61,299,59.8,36
1080009,杜以潔,女,1080009@sun.tc.edu.tw,53,56,57,54,53,273,54.6,37
1080025,許銘婷,女,1080025@sun.tc.edu.tw,52,50,49,54,52,257,51.4,38
1080029,陳杰育,男,1080029@sun.tc.edu.tw,-1,-1,-1,-1,-1,-5,-1,39
1080039,蔡凌嘉,男,1080039@sun.tc.edu.tw,-1,-1,-1,-1,-1,-5,-1,40
