PassengerId,Name,PClass,Age,Sex,Survived
1,"Allen",1st,29,female,1
2,"Allison1",1st,NA,female,0
3,"Allison2",1st,30,male,0
4,"Allison3",1st,25,female,0
5,"Allison4",1st,NA,male,1
6,"Anderson",1st,47,male,1
7,"Andrews1",1st,63,female,1
8,"Andrews2",1st,39,male,0
9,"Appleton",1st,NA,female,1
10,"Artagaveytia",1st,NA,male,0
11,"Astor1",1st,47,male,0
12,"Astor2",1st,19,female,1
13,"Aubert",1st,NA,female,1
14,"Barkworth",1st,NA,male,1
15,"Baumann",1st,NA,male,0
16,"Baxter1",1st,50,female,1
17,"Baxter2",1st,NA,male,0
18,"Beattie",1st,36,male,0
19,"Beckwith1",1st,37,male,1
20,"Beckwith2",1st,NA,female,1
